row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
8651,0,1364,0.372,87.26,818.81,1,2.52557582,5821,1.031,0.12,4.421
8652,0,927,0.6346,86.52,174.36,2,8.2927558,6146,1.02,-0.26,4.497
8653,0,661,0.3817,89.95,45.26,2,22.786522,6146,1.02,-0.26,4.497
8654,0,440,0.6493,87.66,8.86,1,28.02789136,5231,0.569,-2.5,4.721
8655,0,1542,0.871,76.58,1333.24,1,2.028512246,6105,0.99,-0.24,4.412
8656,0,1326,0.402,81.1,727.84,1,1.33256167,4895,0.796,0.26,4.502
8657,0,2395,0.413,81.4,7802.17,1,1.332567821,6600,1.148,-0.4,4.047
8658,0,5080,0.582,75.03,157611.61,1,1.332545609,5154,2.7,-0.5,2.435
8659,0,4529,0.137,87.67,99175.88,1,1.33256256,4601,1.209,-0.22,2.321
8660,0,1369,0.223,85.05,832.33,1,1.33258981,5309,0.843,-0.16,4.595
8661,0,1727,0.746,66.77,2096.92,1,1.33258375,6108,1.072,-0.08,4.471
8662,0,1040,1.208,13.25,276.3,1,8.9648813,6543,1.181,-0.16,4.382
8663,0,1623,0.029,89.68,1643.57,1,1.284241817,5849,1.014,-0.02,4.517
8664,0,1646,0.715,80.06,1741.01,1,2.161583501,5888,0.796,-0.62,4.167
8665,0,577,0.957,82.59,26.17,2,8.7396758,4406,0.632,-0.24,4.643
8666,0,3181,0.566,68.26,24045.87,1,0.535493486,6328,1.374,0.08,4.035
8667,0,670,0.1178,89.95,47.65,1,15.9474242,5472,0.772,-0.3,4.44
8668,0,659,0.814,88.63,44.55,1,24.26168383,6151,1.048,-0.18,4.473
8669,0,535,0.237,89.41,19.39,1,32.5325215,5845,0.926,-0.28,4.558
8670,0,432,0.484,89.95,8.23,1,50.0122,5357,0.772,-0.26,4.503
8671,0,1039,1.248,76.28,275.68,1,4.627775175,5845,0.968,-0.16,4.541
8672,0,993,0.2978,89.95,229.66,1,28.7850347,6581,1.428,-0.16,3.824
