,K2_Data,K2_Model4_Merged
618,CANDIDATE,CONFIRMED
619,CANDIDATE,CONFIRMED
620,CANDIDATE,CONFIRMED
621,CANDIDATE,CONFIRMED
622,CANDIDATE,CONFIRMED
623,CANDIDATE,CONFIRMED
625,CANDIDATE,CONFIRMED
626,CANDIDATE,CONFIRMED
627,CANDIDATE,CONFIRMED
628,CANDIDATE,CONFIRMED
629,CANDIDATE,CONFIRMED
630,CANDIDATE,CONFIRMED
631,CANDIDATE,CONFIRMED
632,CANDIDATE,CONFIRMED
633,CANDIDATE,CONFIRMED
634,CANDIDATE,CONFIRMED
635,CANDIDATE,CONFIRMED
636,CANDIDATE,CONFIRMED
637,CANDIDATE,CONFIRMED
639,CANDIDATE,CONFIRMED
640,CANDIDATE,CONFIRMED
642,CANDIDATE,CONFIRMED
643,CANDIDATE,CONFIRMED
644,CANDIDATE,CONFIRMED
645,CANDIDATE,CONFIRMED
646,CANDIDATE,CONFIRMED
647,CANDIDATE,CONFIRMED
648,CANDIDATE,CONFIRMED
649,CANDIDATE,CONFIRMED
650,CANDIDATE,CONFIRMED
651,CANDIDATE,CONFIRMED
652,CANDIDATE,CONFIRMED
653,CANDIDATE,CONFIRMED
654,CANDIDATE,CONFIRMED
655,CANDIDATE,CONFIRMED
657,CANDIDATE,CONFIRMED
658,CANDIDATE,CONFIRMED
659,CANDIDATE,CONFIRMED
660,CANDIDATE,CONFIRMED
661,CANDIDATE,CONFIRMED
662,CANDIDATE,CONFIRMED
663,CANDIDATE,CONFIRMED
664,CANDIDATE,CONFIRMED
665,CANDIDATE,CONFIRMED
666,CANDIDATE,CONFIRMED
667,CANDIDATE,CONFIRMED
668,CANDIDATE,CONFIRMED
669,CANDIDATE,CONFIRMED
670,CANDIDATE,CONFIRMED
671,CANDIDATE,CONFIRMED
672,CANDIDATE,CONFIRMED
673,CANDIDATE,CONFIRMED
674,CANDIDATE,CONFIRMED
675,CANDIDATE,CONFIRMED
676,CANDIDATE,CONFIRMED
677,CANDIDATE,CONFIRMED
678,CANDIDATE,CONFIRMED
679,CANDIDATE,CONFIRMED
680,CANDIDATE,CONFIRMED
681,CANDIDATE,CONFIRMED
682,CANDIDATE,CONFIRMED
683,CANDIDATE,CONFIRMED
685,CANDIDATE,CONFIRMED
687,CANDIDATE,CONFIRMED
688,CANDIDATE,CONFIRMED
690,CANDIDATE,CONFIRMED
693,CANDIDATE,CONFIRMED
694,CANDIDATE,CONFIRMED
695,CANDIDATE,CONFIRMED
696,CANDIDATE,CONFIRMED
698,CANDIDATE,CONFIRMED
699,CANDIDATE,CONFIRMED
701,CANDIDATE,CONFIRMED
702,CANDIDATE,CONFIRMED
703,CANDIDATE,CONFIRMED
704,CANDIDATE,CONFIRMED
705,CANDIDATE,CONFIRMED
706,CANDIDATE,CONFIRMED
707,CANDIDATE,CONFIRMED
708,CANDIDATE,CONFIRMED
709,CANDIDATE,CONFIRMED
710,CANDIDATE,CONFIRMED
711,CANDIDATE,CONFIRMED
715,CANDIDATE,CONFIRMED
718,CANDIDATE,CONFIRMED
720,CANDIDATE,CONFIRMED
721,CANDIDATE,CONFIRMED
722,CANDIDATE,CONFIRMED
723,CANDIDATE,CONFIRMED
724,CANDIDATE,CONFIRMED
725,CANDIDATE,CONFIRMED
726,CANDIDATE,CONFIRMED
727,CANDIDATE,CONFIRMED
729,CANDIDATE,CONFIRMED
734,CANDIDATE,CONFIRMED
737,CANDIDATE,CONFIRMED
739,CANDIDATE,CONFIRMED
740,CANDIDATE,CONFIRMED
743,CANDIDATE,CONFIRMED
744,CANDIDATE,CONFIRMED
745,CANDIDATE,CONFIRMED
746,CANDIDATE,CONFIRMED
747,CANDIDATE,CONFIRMED
748,CANDIDATE,CONFIRMED
749,CANDIDATE,CONFIRMED
751,CANDIDATE,CONFIRMED
752,CANDIDATE,CONFIRMED
756,CANDIDATE,CONFIRMED
758,CANDIDATE,CONFIRMED
760,CANDIDATE,CONFIRMED
761,CANDIDATE,CONFIRMED
764,CANDIDATE,CONFIRMED
765,CANDIDATE,CONFIRMED
766,CANDIDATE,CONFIRMED
767,CANDIDATE,CONFIRMED
768,CANDIDATE,CONFIRMED
769,CANDIDATE,CONFIRMED
771,CANDIDATE,CONFIRMED
772,CANDIDATE,CONFIRMED
773,CANDIDATE,CONFIRMED
774,CANDIDATE,CONFIRMED
775,CANDIDATE,CONFIRMED
776,CANDIDATE,CONFIRMED
777,CANDIDATE,CONFIRMED
778,CANDIDATE,CONFIRMED
780,CANDIDATE,CONFIRMED
784,CANDIDATE,CONFIRMED
785,CANDIDATE,CONFIRMED
788,CANDIDATE,CONFIRMED
791,CANDIDATE,CONFIRMED
793,CANDIDATE,CONFIRMED
794,CANDIDATE,CONFIRMED
795,CANDIDATE,CONFIRMED
801,CANDIDATE,CONFIRMED
803,CANDIDATE,CONFIRMED
806,CANDIDATE,CONFIRMED
807,CANDIDATE,CONFIRMED
809,CANDIDATE,CONFIRMED
810,CANDIDATE,CONFIRMED
811,CANDIDATE,CONFIRMED
812,CANDIDATE,CONFIRMED
816,CANDIDATE,CONFIRMED
818,CANDIDATE,CONFIRMED
819,CANDIDATE,CONFIRMED
820,CANDIDATE,CONFIRMED
821,CANDIDATE,CONFIRMED
822,CANDIDATE,CONFIRMED
826,CANDIDATE,CONFIRMED
828,CANDIDATE,CONFIRMED
829,CANDIDATE,CONFIRMED
831,CANDIDATE,CONFIRMED
832,CANDIDATE,CONFIRMED
833,CANDIDATE,CONFIRMED
834,CANDIDATE,CONFIRMED
835,CANDIDATE,CONFIRMED
836,CANDIDATE,CONFIRMED
838,CANDIDATE,CONFIRMED
839,CANDIDATE,CONFIRMED
840,CANDIDATE,CONFIRMED
841,CANDIDATE,CONFIRMED
842,CANDIDATE,CONFIRMED
843,CANDIDATE,CONFIRMED
846,CANDIDATE,CONFIRMED
849,CANDIDATE,CONFIRMED
850,CANDIDATE,CONFIRMED
851,CANDIDATE,CONFIRMED
853,CANDIDATE,CONFIRMED
854,CANDIDATE,CONFIRMED
857,CANDIDATE,CONFIRMED
858,CANDIDATE,CONFIRMED
861,CANDIDATE,CONFIRMED
862,CANDIDATE,CONFIRMED
863,CANDIDATE,CONFIRMED
864,CANDIDATE,CONFIRMED
865,CANDIDATE,CONFIRMED
866,CANDIDATE,CONFIRMED
867,CANDIDATE,CONFIRMED
868,CANDIDATE,CONFIRMED
869,CANDIDATE,CONFIRMED
870,CANDIDATE,CONFIRMED
871,CANDIDATE,CONFIRMED
872,CANDIDATE,CONFIRMED
873,CANDIDATE,CONFIRMED
874,CANDIDATE,CONFIRMED
875,CANDIDATE,CONFIRMED
880,CANDIDATE,CONFIRMED
881,CANDIDATE,CONFIRMED
884,CANDIDATE,CONFIRMED
885,CANDIDATE,CONFIRMED
888,CANDIDATE,CONFIRMED
889,CANDIDATE,CONFIRMED
897,CANDIDATE,CONFIRMED
901,CANDIDATE,CONFIRMED
903,CANDIDATE,CONFIRMED
904,CANDIDATE,CONFIRMED
909,CANDIDATE,CONFIRMED
913,CANDIDATE,CONFIRMED
914,CANDIDATE,CONFIRMED
915,CANDIDATE,CONFIRMED
917,CANDIDATE,CONFIRMED
918,CANDIDATE,CONFIRMED
919,CANDIDATE,CONFIRMED
920,CANDIDATE,CONFIRMED
921,CANDIDATE,CONFIRMED
922,CANDIDATE,CONFIRMED
923,CANDIDATE,CONFIRMED
924,CANDIDATE,CONFIRMED
925,CANDIDATE,CONFIRMED
926,CANDIDATE,CONFIRMED
927,CANDIDATE,CONFIRMED
928,CANDIDATE,CONFIRMED
929,CANDIDATE,CONFIRMED
930,CANDIDATE,CONFIRMED
931,CANDIDATE,CONFIRMED
934,CANDIDATE,CONFIRMED
935,CANDIDATE,CONFIRMED
937,CANDIDATE,CONFIRMED
938,CANDIDATE,CONFIRMED
939,CANDIDATE,CONFIRMED
947,CANDIDATE,CONFIRMED
948,CANDIDATE,CONFIRMED
950,CANDIDATE,CONFIRMED
951,CANDIDATE,CONFIRMED
952,CANDIDATE,CONFIRMED
953,CANDIDATE,CONFIRMED
954,CANDIDATE,CONFIRMED
956,CANDIDATE,CONFIRMED
957,CANDIDATE,CONFIRMED
958,CANDIDATE,CONFIRMED
959,CANDIDATE,CONFIRMED
960,CANDIDATE,CONFIRMED
961,CANDIDATE,CONFIRMED
962,CANDIDATE,CONFIRMED
964,CANDIDATE,CONFIRMED
975,CANDIDATE,CONFIRMED
979,CANDIDATE,CONFIRMED
981,CANDIDATE,CONFIRMED
982,CANDIDATE,CONFIRMED
983,CANDIDATE,CONFIRMED
986,CANDIDATE,CONFIRMED
987,CANDIDATE,CONFIRMED
989,CANDIDATE,CONFIRMED
990,CANDIDATE,CONFIRMED
991,CANDIDATE,CONFIRMED
992,CANDIDATE,CONFIRMED
993,CANDIDATE,CONFIRMED
994,CANDIDATE,CONFIRMED
995,CANDIDATE,CONFIRMED
996,CANDIDATE,CONFIRMED
997,CANDIDATE,CONFIRMED
998,CANDIDATE,CONFIRMED
999,CANDIDATE,CONFIRMED
1001,CANDIDATE,CONFIRMED
1002,CANDIDATE,CONFIRMED
1011,CANDIDATE,CONFIRMED
1013,CANDIDATE,CONFIRMED
1014,CANDIDATE,CONFIRMED
1015,CANDIDATE,CONFIRMED
1018,CANDIDATE,CONFIRMED
1019,CANDIDATE,CONFIRMED
1020,CANDIDATE,CONFIRMED
1022,CANDIDATE,CONFIRMED
1024,CANDIDATE,CONFIRMED
1028,CANDIDATE,CONFIRMED
1029,CANDIDATE,CONFIRMED
1030,CANDIDATE,CONFIRMED
1032,CANDIDATE,CONFIRMED
1043,CANDIDATE,CONFIRMED
1044,CANDIDATE,CONFIRMED
1045,CANDIDATE,CONFIRMED
1046,CANDIDATE,CONFIRMED
1047,CANDIDATE,CONFIRMED
1051,CANDIDATE,CONFIRMED
1055,CANDIDATE,CONFIRMED
1056,CANDIDATE,CONFIRMED
1057,CANDIDATE,CONFIRMED
1058,CANDIDATE,CONFIRMED
1059,CANDIDATE,CONFIRMED
1060,CANDIDATE,CONFIRMED
1061,CANDIDATE,CONFIRMED
1062,CANDIDATE,CONFIRMED
1063,CANDIDATE,CONFIRMED
